project_type,land_area,affected_families,documentation_completion,compensation_completion,legal_disputes,approval_delay_days,rr_completion,possession_completion,stakeholder_response_days,historical_delay_rate,delayed,actual_delay_days
Highway,295.2,143,77.2,67.4,0,7,69.1,69.9,5,32.4,0,0
Irrigation,115.4,36,92.2,75.1,0,12,90.1,53.9,4,43.4,0,0
Industrial Corridor,123.8,80,62.9,35.0,2,14,51.5,47.7,2,30.4,1,236
Highway,223.7,130,62.2,49.9,3,26,64.5,72.1,6,26.0,1,52
Irrigation,31.5,7,88.6,66.0,1,3,54.4,38.1,1,2.0,0,0
Highway,162.9,127,74.7,72.9,0,84,50.4,46.7,8,30.6,1,105
Urban Infrastructure,193.0,107,68.0,64.3,1,31,66.8,55.5,10,32.6,1,35
Highway,883.8,1396,100.0,73.1,8,12,49.7,54.4,1,38.6,1,103
Irrigation,618.4,487,81.2,92.4,4,23,46.8,50.8,26,17.3,0,0
Irrigation,374.1,166,69.0,66.6,0,22,30.6,33.4,2,25.6,1,55
Railway,492.2,359,61.0,37.2,3,3,64.3,43.3,3,8.5,1,63
Irrigation,122.9,102,93.2,88.2,0,45,84.3,78.7,21,8.3,0,0
Industrial Corridor,300.9,310,75.3,71.3,3,36,77.1,83.8,2,31.6,1,88
Irrigation,452.2,340,72.4,68.1,3,28,92.8,81.4,7,39.9,1,27
Industrial Corridor,123.8,267,82.8,73.2,4,22,49.5,39.3,9,40.3,0,0
Urban Infrastructure,76.8,25,86.1,62.9,0,11,80.0,62.4,5,30.8,0,0
Railway,347.2,190,80.8,59.9,2,52,40.9,39.1,5,48.5,1,73
Railway,85.4,38,86.1,77.9,1,20,77.2,69.4,9,21.7,0,0
Highway,397.9,239,79.2,55.9,1,37,95.9,80.6,14,35.9,0,0
Industrial Corridor,563.4,499,80.9,68.1,2,29,73.0,79.1,7,11.5,1,26
Irrigation,127.3,108,60.3,40.3,1,38,96.2,73.9,19,2.0,1,61
Railway,135.9,138,100.0,100.0,0,37,51.0,41.8,2,20.7,0,0
Highway,552.5,434,52.3,20.0,3,9,60.3,67.8,19,24.7,1,102
Urban Infrastructure,287.6,234,77.0,65.9,1,4,44.7,52.3,5,28.6,1,22
Railway,504.9,401,50.6,81.1,2,8,63.7,56.2,18,24.0,0,0
Irrigation,230.0,130,70.4,39.2,1,18,68.4,67.7,10,30.0,1,39
Highway,243.2,131,62.9,54.8,1,77,63.5,43.2,3,45.1,1,34
Urban Infrastructure,282.2,124,74.2,71.7,1,26,53.5,48.8,8,34.1,0,0
Highway,771.1,807,77.5,78.0,3,3,53.2,39.7,1,17.6,0,0
Highway,479.0,73,56.7,42.5,2,10,69.9,73.6,4,2.0,0,0
Urban Infrastructure,158.6,127,71.5,75.9,0,4,59.8,51.1,5,14.2,0,0
Urban Infrastructure,316.6,367,94.3,94.4,3,14,40.0,11.3,6,40.8,1,71
Highway,218.0,291,51.0,50.7,2,20,25.1,18.3,14,20.5,1,47
Railway,187.9,22,58.3,54.4,2,10,51.1,50.4,5,33.5,0,0
Industrial Corridor,390.3,225,85.8,85.0,0,11,35.4,39.4,4,33.0,1,15
Urban Infrastructure,337.5,154,73.2,53.3,2,10,46.3,37.6,3,25.4,1,54
Railway,128.6,70,74.4,62.6,1,9,54.5,24.4,8,25.0,0,0
Railway,282.7,422,88.4,74.9,5,9,60.1,71.6,11,18.7,0,0
Industrial Corridor,183.3,84,59.3,42.8,0,41,49.7,41.4,4,50.5,1,21
Industrial Corridor,373.6,432,63.7,57.0,2,13,100.0,100.0,8,15.5,1,32
Industrial Corridor,177.0,143,61.7,68.0,1,10,37.8,35.0,1,38.3,0,0
Irrigation,244.3,130,66.4,33.1,0,16,87.2,74.3,5,35.1,0,0
Highway,191.9,95,93.4,72.4,0,34,59.7,74.4,2,32.8,0,0
Urban Infrastructure,57.4,49,44.8,14.2,0,66,49.8,47.5,17,24.7,1,123
Urban Infrastructure,746.7,527,52.9,30.4,1,29,74.8,61.4,18,9.7,1,35
Industrial Corridor,280.4,60,50.1,48.5,0,58,53.9,42.9,8,13.4,0,0
Highway,763.4,298,94.4,100.0,6,17,46.9,32.8,2,17.5,0,0
Highway,289.7,253,62.2,71.4,3,11,98.8,100.0,2,30.1,0,0
Industrial Corridor,438.6,139,66.8,49.9,4,28,19.1,5.7,7,35.8,1,50
Highway,167.2,209,46.2,39.6,1,29,58.1,58.1,7,29.5,1,70
Urban Infrastructure,170.6,44,67.8,65.7,1,23,66.8,47.1,1,28.9,0,0
Railway,269.2,168,85.9,100.0,1,7,91.2,100.0,4,37.5,0,0
Industrial Corridor,759.0,809,76.0,68.2,2,9,55.0,50.3,6,3.0,0,0
Urban Infrastructure,132.4,49,70.3,77.4,2,17,100.0,89.5,14,2.0,0,0
Railway,43.9,13,47.0,49.1,1,82,78.2,49.0,9,9.0,1,171
Highway,544.2,521,66.8,46.9,3,9,15.7,5.4,5,36.2,1,500
Irrigation,456.8,538,74.4,80.8,1,70,33.9,22.1,15,3.9,1,15
Irrigation,200.5,131,56.1,61.2,1,34,67.7,53.1,17,25.9,1,100
Railway,949.8,538,82.5,71.9,2,35,40.1,12.3,11,16.0,1,15
Irrigation,975.9,242,86.2,66.0,0,28,74.0,70.7,2,27.7,0,0
Urban Infrastructure,53.3,41,63.5,61.1,0,65,53.9,65.9,6,24.4,1,105
Railway,164.0,31,83.6,55.1,2,10,39.1,54.0,5,28.8,0,0
Highway,267.8,403,70.2,80.1,2,34,43.7,24.7,4,21.6,0,0
Railway,366.6,246,90.4,100.0,1,6,80.0,67.7,15,33.8,0,0
Railway,329.6,131,100.0,100.0,0,10,22.5,17.3,16,42.1,1,22
Highway,279.7,138,54.5,69.6,1,30,83.9,83.7,5,39.9,0,0
Highway,115.8,93,84.3,71.6,1,36,84.5,72.8,5,22.0,0,0
Irrigation,398.4,218,92.9,98.6,0,24,56.4,44.3,2,16.5,0,0
Railway,413.9,300,56.5,68.2,0,2,34.9,18.7,14,28.2,0,0
Urban Infrastructure,519.3,186,62.8,49.5,1,8,74.1,81.7,12,47.7,1,49
Highway,102.0,138,62.6,43.1,1,5,53.3,70.8,4,25.4,1,80
Highway,237.4,119,69.9,47.2,0,16,32.7,37.4,4,35.2,1,42
Industrial Corridor,193.0,28,66.3,46.0,1,5,100.0,100.0,9,34.6,0,0
Urban Infrastructure,100.3,58,68.8,73.7,1,10,45.3,57.3,8,34.5,0,0
Highway,234.6,106,85.4,73.5,2,10,33.6,1.1,7,40.0,1,123
Highway,120.9,157,41.7,26.7,5,42,68.7,93.7,12,11.5,1,124
Highway,85.8,34,56.4,55.0,0,11,61.6,45.6,9,15.4,1,28
Irrigation,460.7,250,82.7,72.4,2,68,92.7,70.1,8,26.5,0,0
Railway,199.6,163,80.8,90.3,1,13,55.4,31.6,5,39.5,0,0
Highway,157.7,161,55.1,55.9,0,27,55.6,42.4,10,39.5,1,67
Highway,603.8,942,81.0,67.8,3,22,69.7,40.9,8,25.5,1,86
Railway,422.3,177,93.2,64.1,3,19,67.0,31.2,5,37.0,1,15
Urban Infrastructure,38.8,57,71.2,47.1,0,34,67.6,63.1,5,21.4,0,0
Irrigation,368.3,468,55.9,38.6,3,17,68.4,52.7,4,16.9,1,78
Railway,367.1,165,86.0,76.9,2,10,66.3,38.2,7,11.4,1,63
Highway,227.3,94,99.6,92.7,2,30,54.7,58.6,11,24.5,0,0
Highway,220.8,203,57.8,70.1,1,7,79.7,74.4,3,22.2,0,0
Highway,64.5,46,72.6,76.3,2,13,55.8,56.2,5,37.0,0,0
Industrial Corridor,942.9,865,89.4,92.6,5,34,79.1,63.2,11,32.2,1,66
Urban Infrastructure,233.9,138,73.8,57.8,0,16,90.8,100.0,5,26.6,0,0
Urban Infrastructure,354.6,269,44.0,22.8,2,25,49.4,18.9,7,26.6,1,99
Urban Infrastructure,243.7,164,79.1,60.8,2,22,100.0,83.0,3,21.4,0,0
Urban Infrastructure,159.8,146,56.3,31.7,0,11,48.7,30.9,3,6.4,1,113
Urban Infrastructure,484.6,196,51.7,42.7,0,16,48.9,75.3,5,13.0,0,0
Highway,309.8,246,44.4,50.2,0,7,73.8,80.4,6,34.7,0,0
Highway,235.4,363,91.0,83.7,1,38,71.8,40.4,8,24.5,0,0
Highway,352.0,526,58.6,60.7,2,14,64.4,58.1,15,11.6,1,15
Irrigation,260.6,221,77.3,60.1,0,40,79.4,96.3,3,41.0,0,0
Highway,796.8,318,81.3,78.3,1,15,68.1,55.8,2,44.7,0,0
Industrial Corridor,473.7,927,74.6,68.0,2,27,100.0,80.8,2,39.2,1,55
Irrigation,392.2,357,76.7,59.0,5,7,61.9,44.9,7,30.7,1,15
Irrigation,72.4,134,78.1,80.5,2,36,45.9,39.2,8,29.1,0,0
Highway,401.5,374,74.2,52.7,1,16,52.0,26.0,4,25.7,0,0
Highway,394.7,41,59.8,70.7,4,12,72.4,73.9,7,27.8,0,0
Highway,122.8,240,58.4,46.1,1,6,72.7,55.6,12,32.9,1,67
Urban Infrastructure,70.8,83,70.3,63.6,0,94,67.1,56.1,5,33.8,0,0
Irrigation,460.9,341,70.0,50.4,5,5,46.0,39.0,5,31.0,1,185
Industrial Corridor,499.6,102,78.9,90.1,0,67,85.2,81.9,3,2.0,0,0
Highway,171.3,213,89.6,100.0,2,53,100.0,96.2,8,38.7,1,83
Railway,165.2,153,77.5,59.0,0,5,63.6,54.1,4,28.2,0,0
Railway,306.0,693,59.0,56.5,3,17,99.2,94.6,9,11.1,0,0
Industrial Corridor,199.1,348,37.1,30.4,1,16,80.3,60.3,5,28.2,1,41
Industrial Corridor,69.3,126,59.7,60.9,1,17,100.0,99.0,6,29.3,0,0
Highway,121.6,101,50.5,29.7,2,22,72.5,40.0,2,8.7,1,25
Urban Infrastructure,345.7,281,60.3,48.1,3,40,65.7,65.4,12,18.9,1,15
Highway,127.6,119,75.9,64.5,1,6,79.8,57.0,10,13.8,0,0
Urban Infrastructure,516.3,248,73.4,81.8,1,16,54.3,30.9,4,15.3,0,0
Highway,390.4,294,100.0,85.0,1,12,71.1,59.6,9,32.3,0,0
Highway,355.4,236,79.7,85.6,4,11,89.6,79.4,3,19.2,0,0
Industrial Corridor,301.5,434,100.0,100.0,2,18,79.4,81.3,10,27.0,0,0
Highway,154.0,247,83.4,94.5,1,15,62.4,61.2,8,34.1,0,0
Railway,427.1,463,89.4,83.6,1,22,67.0,54.7,15,21.2,0,0
Railway,150.5,65,66.3,43.4,0,2,78.2,69.9,8,34.6,0,0
Highway,535.3,1082,54.8,43.6,2,37,77.5,50.8,3,40.9,0,0
Industrial Corridor,718.3,890,64.8,63.0,7,20,78.0,75.8,7,35.3,1,152
Urban Infrastructure,308.5,276,71.8,62.3,4,14,69.8,66.7,5,32.6,0,0
Urban Infrastructure,658.2,675,61.9,52.4,1,5,46.5,62.5,14,35.4,1,69
Railway,123.1,35,56.0,47.1,0,23,49.7,31.0,2,30.3,1,124
Irrigation,393.4,262,78.7,68.2,4,17,72.2,54.9,7,35.3,0,0
Highway,274.6,415,55.9,62.5,4,18,79.6,55.9,3,13.1,0,0
Highway,466.1,127,47.5,38.0,0,20,77.0,52.5,16,25.2,1,130
Highway,41.4,11,54.0,70.6,0,28,49.5,28.7,7,30.3,0,0
Urban Infrastructure,447.9,557,68.3,52.2,2,22,60.0,38.5,9,25.2,0,0
Urban Infrastructure,166.1,163,56.1,63.5,0,50,39.5,21.3,5,53.5,1,358
Industrial Corridor,284.5,78,68.4,43.9,1,28,35.2,14.7,10,23.9,1,15
Railway,932.7,587,81.6,100.0,2,22,64.6,83.2,3,6.4,0,0
Railway,402.4,361,81.2,49.8,0,19,90.2,97.7,4,26.6,0,0
Irrigation,367.2,306,61.4,76.3,0,8,65.0,74.9,14,35.1,1,30
Irrigation,347.0,325,51.1,59.9,0,4,100.0,71.9,23,16.4,0,0
Railway,572.2,343,62.8,50.6,0,1,59.7,62.4,2,25.6,0,0
Highway,476.8,410,82.5,65.8,2,27,63.6,63.9,4,25.2,0,0
Highway,349.6,379,86.2,82.2,2,17,43.2,34.1,12,25.3,0,0
Urban Infrastructure,320.3,332,77.6,57.1,2,29,56.1,65.8,8,19.4,0,0
Railway,305.6,187,91.2,94.4,0,48,39.2,24.5,4,38.1,0,0
Urban Infrastructure,263.8,301,99.7,97.3,2,16,32.1,55.1,5,49.8,1,87
Highway,100.4,40,64.3,60.5,2,5,39.5,48.2,4,16.8,0,0
Irrigation,396.6,196,95.8,95.3,3,35,64.7,52.7,9,11.6,0,0
Highway,179.5,223,67.8,86.9,2,15,48.3,57.9,4,21.2,0,0
Highway,241.1,272,88.3,80.6,4,10,53.0,24.5,5,41.5,0,0
Highway,498.2,322,83.3,76.9,3,10,71.2,61.5,10,23.2,0,0
Highway,268.4,131,40.4,17.3,0,27,32.0,6.0,8,30.0,1,153
Urban Infrastructure,253.5,134,56.5,66.5,2,26,64.6,50.2,13,16.0,1,15
Railway,309.2,326,52.5,53.5,3,41,80.0,71.2,4,45.6,0,0
Irrigation,218.7,206,43.5,18.7,0,6,81.7,87.6,5,22.8,0,0
Railway,920.0,431,86.1,74.0,2,6,73.3,50.4,3,28.7,0,0
Railway,840.8,945,100.0,84.3,8,20,62.0,46.4,5,17.2,0,0
Irrigation,826.9,520,67.9,53.6,0,22,50.5,10.2,2,16.2,1,15
Highway,347.8,141,85.7,71.3,1,37,61.4,40.0,1,26.0,0,0
Urban Infrastructure,170.6,96,95.8,62.3,1,39,96.1,93.1,2,27.1,0,0
Industrial Corridor,507.1,400,75.3,66.0,4,20,68.5,55.2,11,35.5,0,0
Industrial Corridor,220.0,242,71.6,77.8,0,41,60.9,45.6,2,7.4,1,20
Railway,536.6,569,68.1,51.2,3,17,74.3,47.9,8,15.5,1,47
Highway,164.3,115,80.6,80.5,0,17,64.0,35.2,5,18.4,0,0
Urban Infrastructure,365.2,308,86.0,79.5,1,14,67.5,60.9,5,27.3,0,0
Railway,586.6,391,79.4,66.2,1,6,58.1,67.3,2,13.6,0,0
Highway,229.3,108,78.8,82.3,1,4,54.7,73.5,4,25.0,0,0
Railway,228.7,164,71.2,70.3,1,20,82.9,91.0,7,18.9,0,0
Industrial Corridor,77.9,16,46.5,31.8,0,36,24.0,23.9,2,24.5,1,40
Irrigation,168.4,274,86.4,86.1,1,10,72.6,41.0,4,17.5,0,0
Industrial Corridor,343.1,285,51.4,29.8,2,39,53.5,21.7,7,14.9,1,226
Industrial Corridor,379.6,366,81.9,87.7,2,47,24.9,1.5,8,29.1,1,194
Highway,417.8,201,84.1,90.0,1,13,43.5,16.0,5,38.2,0,0
Urban Infrastructure,51.8,43,53.8,19.1,1,3,62.3,63.9,17,34.9,1,143
Railway,220.8,201,62.3,75.7,3,14,65.0,78.7,6,38.2,1,95
Irrigation,86.9,56,100.0,92.4,0,7,77.8,83.9,10,39.5,0,0
Highway,331.3,221,70.7,36.8,2,36,79.2,100.0,7,24.2,1,36
Urban Infrastructure,64.6,20,52.5,44.9,0,21,32.1,39.8,5,46.6,1,105
Highway,111.3,213,84.8,57.9,0,3,70.6,69.2,1,34.3,0,0
Highway,471.4,225,59.6,42.5,0,25,77.6,66.1,10,15.6,1,28
Railway,184.0,95,41.3,33.4,1,37,67.4,56.4,10,18.6,1,35
Highway,661.8,1113,80.3,74.1,1,19,73.0,74.3,16,27.7,0,0
Highway,425.2,422,57.3,79.0,1,12,24.3,6.8,5,35.7,1,107
Irrigation,230.3,255,77.1,73.6,0,24,43.2,44.3,20,23.5,1,62
Railway,521.1,157,59.0,47.7,0,54,90.3,81.1,10,15.3,1,61
Urban Infrastructure,245.0,201,83.3,72.1,0,42,57.4,65.0,13,34.7,0,0
Highway,453.7,138,74.9,32.4,3,5,100.0,74.7,3,13.7,0,0
Industrial Corridor,161.8,70,30.6,18.7,0,21,37.4,28.1,7,29.3,1,155
Railway,541.0,1121,78.1,61.3,3,7,94.3,75.1,15,26.5,0,0
Irrigation,70.8,27,67.4,43.1,0,12,50.8,60.0,3,11.2,1,15
Irrigation,111.1,120,94.7,79.1,1,44,80.2,68.6,1,45.6,0,0
Railway,128.3,52,78.3,71.5,0,21,57.1,39.5,5,26.2,1,59
Urban Infrastructure,175.8,77,84.1,77.2,1,8,65.3,87.0,17,13.0,0,0
Railway,351.6,974,60.6,57.5,4,14,74.9,48.4,13,26.5,1,136
Highway,278.8,197,59.4,45.2,1,31,50.7,60.4,6,7.0,0,0
Irrigation,457.2,131,71.6,66.0,2,11,79.0,66.8,4,30.0,0,0
Industrial Corridor,591.9,652,66.2,49.5,2,21,57.7,21.9,9,35.5,1,57
Highway,63.3,92,93.4,99.5,3,12,66.6,43.3,13,55.7,0,0
Railway,638.4,740,69.5,59.4,1,13,10.1,23.4,10,27.1,0,0
Urban Infrastructure,241.0,161,52.4,22.7,3,47,56.3,50.0,15,18.8,1,21
Industrial Corridor,816.8,557,58.8,53.9,3,20,88.3,60.8,15,28.3,1,55
Urban Infrastructure,156.1,84,87.4,53.6,0,27,76.9,80.2,8,41.8,0,0
Irrigation,45.9,16,69.3,59.0,0,20,80.7,77.1,10,31.5,0,0
Irrigation,428.4,385,68.5,61.3,1,4,64.1,60.9,7,35.2,0,0
Highway,410.7,266,89.0,79.4,2,6,96.5,78.9,2,34.4,0,0
Urban Infrastructure,113.7,35,57.4,53.8,1,47,68.8,82.9,7,31.6,0,0
Railway,123.9,89,36.2,55.9,1,43,49.8,31.4,3,10.6,1,53
Industrial Corridor,480.0,230,58.4,38.1,2,19,80.1,80.4,2,10.0,1,63
Railway,363.3,317,75.9,37.2,0,9,81.5,72.7,12,8.6,1,31
Irrigation,223.4,184,68.0,53.3,1,3,75.6,70.0,4,12.8,0,0
Industrial Corridor,388.7,231,47.0,31.4,2,73,54.9,36.9,6,14.1,1,116
Railway,338.9,249,88.3,82.9,2,6,68.6,59.9,3,46.5,0,0
Urban Infrastructure,135.4,105,74.6,50.4,2,10,90.9,60.3,4,18.2,0,0
Railway,503.9,626,78.2,70.7,0,11,72.6,48.8,6,27.1,0,0
Irrigation,441.1,317,78.7,67.0,1,9,33.4,36.3,8,23.3,0,0
Railway,283.4,155,51.2,65.1,1,18,50.4,20.9,6,28.1,0,0
Railway,480.2,303,76.8,76.2,2,67,49.5,35.7,9,26.8,0,0
Railway,881.6,1620,86.5,73.4,6,16,47.9,36.4,11,12.2,1,193
Highway,122.7,51,90.2,69.5,0,23,20.8,0.0,2,32.6,1,22
Highway,231.0,152,83.5,62.4,1,28,100.0,100.0,9,18.5,0,0
Irrigation,239.6,156,80.2,94.3,3,34,45.5,57.2,7,18.2,0,0
Irrigation,473.3,316,44.2,56.9,2,19,46.9,37.5,7,22.6,1,33
Irrigation,174.1,40,71.8,55.6,0,8,24.2,24.3,3,34.9,0,0
Highway,455.9,157,56.7,59.2,2,29,80.3,40.2,5,19.1,1,24
Railway,190.6,120,92.5,72.0,1,54,61.2,63.7,10,27.0,1,15
Highway,110.7,59,90.1,100.0,3,11,56.0,46.4,2,30.4,0,0
Industrial Corridor,295.5,257,56.8,50.2,1,24,57.0,45.1,22,28.8,1,15
Urban Infrastructure,187.4,252,71.3,63.8,4,29,74.8,47.3,12,28.2,0,0
Highway,316.6,288,76.0,61.3,0,13,53.4,59.3,3,10.6,0,0
Irrigation,370.8,293,86.4,92.8,2,33,23.2,38.4,5,27.4,1,67
Highway,68.0,65,45.2,64.7,1,41,37.2,7.3,2,15.9,0,0
Highway,204.5,170,36.6,26.2,1,24,36.1,25.9,12,6.6,1,84
Highway,295.6,216,72.6,57.2,0,32,68.5,47.4,6,20.9,0,0
Highway,481.6,586,31.5,9.4,1,16,81.6,59.7,8,20.3,1,58
Irrigation,443.3,21,74.5,71.5,1,6,92.3,67.8,7,58.6,0,0
Urban Infrastructure,145.2,90,81.5,62.6,2,8,30.3,27.0,10,36.7,1,145
Highway,248.4,85,91.8,77.0,2,61,75.4,76.1,3,34.6,0,0
Irrigation,384.0,199,62.0,35.5,2,41,50.7,71.6,26,21.5,1,196
Industrial Corridor,235.9,112,74.6,67.4,2,7,100.0,100.0,10,24.0,0,0
Urban Infrastructure,157.0,332,82.4,98.6,2,7,90.7,80.8,11,54.3,0,0
Irrigation,271.2,376,53.2,46.1,4,29,97.0,98.5,8,19.0,0,0
Highway,359.8,286,86.6,77.4,2,96,79.0,87.1,3,28.8,1,27
Irrigation,133.8,65,76.4,61.1,0,20,70.6,60.8,5,46.3,0,0
Railway,412.4,499,62.3,75.8,1,9,54.9,25.8,5,18.0,1,28
Urban Infrastructure,308.1,240,74.3,70.7,3,35,51.0,42.8,13,27.6,0,0
Railway,422.5,262,69.8,49.6,1,46,47.0,55.0,4,25.8,1,39
Irrigation,266.9,209,84.5,78.0,3,29,75.4,47.3,7,16.2,0,0
Highway,798.8,503,66.2,62.5,3,26,94.2,96.8,3,34.5,0,0
Railway,355.0,339,75.6,40.9,5,7,55.9,24.7,10,13.7,1,62
Urban Infrastructure,454.6,146,62.1,69.1,0,35,48.6,43.5,4,34.5,1,116
Irrigation,411.3,391,57.0,31.7,5,30,33.3,22.8,10,30.7,1,76
Railway,246.0,155,74.7,52.4,2,14,67.9,35.5,12,35.9,0,0
Urban Infrastructure,333.6,408,57.7,52.9,2,5,87.6,98.9,19,23.9,1,53
Urban Infrastructure,177.3,249,84.8,77.3,2,13,88.6,95.4,6,30.3,0,0
Railway,762.4,1199,81.5,74.0,4,19,90.6,86.5,8,37.3,0,0
Irrigation,382.1,928,59.8,49.3,1,31,71.3,64.4,7,10.5,1,52
Railway,149.6,329,75.4,75.7,6,35,64.8,16.2,5,12.7,1,247
Irrigation,654.6,1010,59.7,57.7,0,17,88.6,92.9,11,32.4,1,111
Railway,255.3,307,46.3,43.3,0,16,40.8,51.4,5,35.1,1,133
Highway,497.2,175,62.4,58.9,1,40,54.2,59.2,10,27.5,0,0
Urban Infrastructure,66.2,9,71.2,67.6,0,24,97.2,84.7,1,36.1,0,0
Urban Infrastructure,579.6,751,80.3,100.0,2,29,41.5,25.1,4,22.0,1,54
Industrial Corridor,371.5,161,74.4,65.0,1,14,62.3,63.9,12,39.9,0,0
Urban Infrastructure,140.0,426,86.5,85.9,1,39,75.6,66.3,7,25.2,0,0
Industrial Corridor,367.2,97,56.3,74.4,2,11,64.7,26.5,13,17.4,0,0
Industrial Corridor,714.4,839,66.0,62.9,2,67,86.0,76.5,7,41.7,1,119
Industrial Corridor,181.4,151,98.3,95.6,1,6,93.5,79.7,11,35.1,0,0
Railway,179.5,51,41.1,15.2,0,20,72.6,35.3,4,21.0,1,15
Railway,243.3,202,64.8,64.3,0,6,90.8,92.3,10,21.3,0,0
Highway,293.7,137,54.9,37.6,0,28,44.4,46.9,9,32.6,0,0
Irrigation,518.6,366,68.9,41.5,0,42,59.8,57.8,6,15.0,0,0
Highway,385.5,275,65.0,65.8,0,29,100.0,98.9,11,29.5,0,0
Highway,243.2,115,81.6,74.3,2,13,100.0,100.0,12,24.1,0,0
Irrigation,343.5,205,76.1,43.9,1,6,37.5,26.4,11,28.4,1,133
Railway,788.7,350,51.1,39.9,1,13,62.7,50.4,12,3.8,1,44
Highway,430.7,90,62.6,49.4,2,30,65.7,59.5,9,16.0,0,0
Industrial Corridor,262.4,207,72.0,69.7,4,8,71.3,58.6,3,28.8,0,0
Urban Infrastructure,238.0,366,83.8,66.2,1,4,88.5,75.6,7,37.6,0,0
Highway,329.7,152,100.0,92.6,1,16,99.8,100.0,6,24.6,0,0
Highway,514.4,1012,83.2,100.0,3,6,63.7,50.4,8,33.9,1,24
Railway,162.0,356,55.8,52.8,1,23,85.4,68.0,12,9.7,1,27
Industrial Corridor,469.6,266,70.5,79.1,0,17,76.0,91.0,11,21.1,0,0
Industrial Corridor,258.6,168,74.9,65.3,0,15,62.6,31.7,10,29.1,0,0
Highway,286.5,164,63.7,68.5,1,72,29.0,38.5,1,25.3,1,95
Industrial Corridor,1187.1,422,79.5,64.8,1,26,83.4,91.5,6,34.4,0,0
Highway,438.9,286,35.7,27.1,0,1,75.1,63.1,5,23.2,0,0
Railway,191.9,117,80.9,90.4,2,66,70.8,53.8,10,23.3,0,0
Urban Infrastructure,370.8,289,64.4,63.3,0,19,43.4,22.7,14,33.2,1,94
Highway,531.2,428,70.2,53.5,3,14,100.0,82.6,8,20.1,0,0
Highway,442.1,149,95.5,71.4,1,22,66.0,64.8,2,16.0,0,0
Railway,37.8,39,51.8,56.4,1,7,40.2,29.6,7,31.1,0,0
Irrigation,278.2,180,76.4,83.8,2,17,37.0,32.8,1,15.4,0,0
Urban Infrastructure,381.7,146,84.7,49.4,2,38,76.5,64.9,12,41.6,1,102
Urban Infrastructure,361.4,230,74.7,66.8,2,15,77.1,67.1,5,5.7,0,0
Highway,203.8,168,46.2,36.9,3,12,53.7,52.3,13,22.7,1,34
Highway,447.1,759,93.6,96.0,3,10,72.3,68.5,13,43.9,0,0
Industrial Corridor,581.2,900,68.6,57.6,4,34,76.4,95.2,15,47.7,1,360
Highway,70.1,38,63.6,31.6,1,24,65.8,44.3,5,25.0,0,0
Urban Infrastructure,64.0,43,67.0,55.4,0,66,49.0,35.5,21,38.1,1,72
Irrigation,368.6,160,65.9,43.0,1,59,82.2,100.0,13,34.5,1,15
Highway,471.4,425,53.0,44.6,3,16,79.8,58.9,5,20.6,1,68
Industrial Corridor,182.0,101,74.6,81.0,0,29,74.4,66.2,14,31.1,0,0
Highway,40.4,27,62.4,64.0,0,14,46.3,51.4,5,16.5,0,0
Railway,281.5,372,82.7,90.3,1,12,36.4,42.8,9,8.8,1,139
Irrigation,365.0,123,80.3,69.3,1,11,64.5,65.8,10,31.5,0,0
Railway,229.2,355,98.0,72.9,1,10,81.6,86.6,10,32.2,0,0
Irrigation,539.6,515,68.6,58.3,2,38,83.8,86.8,4,13.0,0,0
Irrigation,350.3,529,59.1,55.4,0,12,74.7,40.2,15,24.4,1,45
Urban Infrastructure,167.3,190,48.5,51.6,2,14,54.0,39.4,12,13.0,0,0
Urban Infrastructure,180.9,227,100.0,87.0,1,24,46.9,7.4,18,20.9,1,47
Railway,285.8,217,82.6,91.9,3,22,62.7,50.3,15,21.2,0,0
Highway,218.0,82,60.9,68.8,1,20,62.9,45.2,13,34.1,0,0
Industrial Corridor,60.0,31,99.1,78.5,0,43,85.1,89.3,13,20.5,0,0
Urban Infrastructure,330.2,149,93.7,89.6,1,11,53.4,46.9,10,12.1,0,0
Highway,184.6,32,50.4,46.6,2,10,55.1,47.3,7,44.9,1,142
Railway,209.2,276,59.9,54.3,2,0,100.0,81.7,10,31.4,0,0
Railway,121.7,86,69.9,51.7,0,29,94.0,85.7,4,35.9,0,0
Highway,726.2,311,54.9,44.6,4,29,45.3,31.0,14,32.7,1,148
Irrigation,422.0,906,70.5,72.9,1,40,92.4,78.7,24,36.4,1,72
Railway,839.4,2240,83.4,85.3,7,15,40.6,36.1,11,30.8,1,70
Industrial Corridor,228.4,70,50.0,44.7,0,17,54.3,51.4,6,31.1,1,55
Industrial Corridor,437.9,285,76.7,64.5,0,37,56.6,57.6,4,27.4,0,0
Industrial Corridor,334.1,209,90.7,83.2,1,13,61.4,36.2,6,21.2,0,0
Railway,172.4,70,78.4,72.1,2,19,75.4,70.9,13,35.8,0,0
Railway,226.7,295,70.8,62.2,4,43,65.1,51.2,10,23.1,1,15
Industrial Corridor,421.5,74,61.3,53.8,0,28,75.3,68.6,9,27.3,0,0
Industrial Corridor,121.6,224,85.3,88.2,4,15,55.0,30.1,7,30.1,0,0
Railway,543.1,422,53.2,29.7,2,37,70.5,91.3,9,31.0,1,192
Urban Infrastructure,315.6,646,75.9,74.7,2,18,64.6,51.1,2,14.8,0,0
Highway,498.0,368,72.4,62.6,3,37,35.2,45.0,6,28.2,1,202
